firm,market_id,firm_id,city_id,quarter_id,market_size,cost_shifter,price,share,advertising
"McDonalds",1,1,1,1,4608,.6382771,2.4811502,.0131902,1
"TacoBell",1,2,1,1,4608,-.466893,2.1507735,.0144896,0
"SushiHut",1,3,1,1,4608,-.5746241,2.930918,.1136058,1
"McDonalds",2,1,1,2,1541,1.191405,2.8780742,.0822001,1
"TacoBell",2,2,1,2,1541,.4680086,2.4113355,.0124503,1
"McDonalds",3,1,1,3,1092,.4663828,2.4340708,.0261561,0
"TacoBell",3,2,1,3,1092,-.5011493,2.1456366,.0300549,1
"McDonalds",4,1,1,4,2937,-.3113383,2.3524702,.0625907,1
"TacoBell",4,2,1,4,2937,1.543983,2.5881958,.0319479,1
"McDonalds",5,1,1,5,4266,-.1602173,2.3733346,.0216109,0
"TacoBell",5,2,1,5,4266,1.436241,2.8007851,.0479339,1
"SushiHut",5,3,1,5,4266,-1.986036,2.0314012,.039192,1
"McDonalds",6,1,1,6,1930,1.343331,2.4405615,.0040086,1
"TacoBell",6,2,1,6,1930,-1.310917,2.0506153,.0153186,0
"SushiHut",6,3,1,6,1930,-1.193296,2.3344257,.0799265,1
"McDonalds",7,1,1,7,7270,-.6408931,2.2315161,.0166689,1
"TacoBell",7,2,1,7,7270,-1.131058,2.30021,.051709,0
"SushiHut",7,3,1,7,7270,-1.448974,2.5961578,.0933009,1
"McDonalds",8,1,1,8,4110,-2.009744,2.4315083,.1184213,1
"TacoBell",8,2,1,8,4110,.9373076,2.3858266,.0141551,1
"SushiHut",8,3,1,8,4110,-1.153741,2.0487376,.0432943,1
"McDonalds",9,1,1,9,2435,-.2576725,2.5199821,.0659213,1
"TacoBell",9,2,1,9,2435,-.3172907,2.2593806,.0243239,1
"McDonalds",10,1,1,10,1974,1.350072,2.6791091,.009992,1
"TacoBell",10,2,1,10,1974,.7511507,2.6186357,.0804708,1
"SushiHut",10,3,1,10,1974,-1.138643,2.1376262,.069047,1
"McDonalds",11,1,1,11,1604,-.8970649,2.488143,.1016446,1
"TacoBell",11,2,1,11,1604,-1.24054,1.9309081,.0572221,1
"McDonalds",12,1,1,12,3927,-1.244204,2.1953793,.0651846,0
"TacoBell",12,2,1,12,3927,-.6545158,2.2772765,.0534523,0
"McDonalds",13,1,1,13,2246,-2.121971,2.2955456,.1036726,1
"TacoBell",13,2,1,13,2246,-1.075271,2.0532618,.0155177,1
"McDonalds",14,1,1,14,654,-.2465427,2.4993446,.1519357,1
"TacoBell",14,2,1,14,654,-.6677878,2.0495236,.0178805,0
"McDonalds",15,1,1,15,1891,.2091349,2.5453012,.0493353,1
"TacoBell",15,2,1,15,1891,-.313044,2.171824,.0081304,0
"SushiHut",15,3,1,15,1891,.4309022,2.5623312,.0218747,1
"McDonalds",16,1,1,16,4917,.9242885,2.6276591,.0341308,1
"TacoBell",16,2,1,16,4917,-.0191421,2.318835,.0134303,0
"SushiHut",16,3,1,16,4917,-.9297805,2.3348318,.0597494,1
"McDonalds",17,1,1,17,1206,-1.794429,1.9572078,.0137689,0
"TacoBell",17,2,1,17,1206,3.254465,2.7818453,.0038237,1
"SushiHut",17,3,1,17,1206,-1.517389,2.2782445,.108574,1
"McDonalds",18,1,1,18,1726,1.268919,2.6308095,.0277389,1
"TacoBell",18,2,1,18,1726,.111282,2.4822052,.0298823,0
"McDonalds",19,1,1,19,2758,-.6066511,2.2679398,.061685,1
"TacoBell",19,2,1,19,2758,.6424553,2.3879123,.0736886,1
"SushiHut",19,3,1,19,2758,-1.640588,2.014909,.0652061,1
"McDonalds",20,1,1,20,2687,.3167616,2.2691839,.0170036,1
"TacoBell",20,2,1,20,2687,-1.238117,1.9963726,.0527758,0
"SushiHut",20,3,1,20,2687,.5830995,2.5554725,.0394495,1
"McDonalds",21,1,2,1,3229,.6382771,2.2798078,.004914,1
"TacoBell",21,2,2,1,3229,-.466893,2.4019258,.0487154,1
"SushiHut",21,3,2,1,3229,-.5746241,2.4159958,.0531296,1
"McDonalds",22,1,2,2,5854,1.191405,2.4148717,.0003841,1
"TacoBell",22,2,2,2,5854,.4680086,2.6244333,.0579057,1
"SushiHut",22,3,2,2,5854,.8588305,2.5809556,.0545904,1
"McDonalds",23,1,2,3,5140,.4663828,2.5530171,.0325758,1
"TacoBell",23,2,2,3,5140,-.5011493,2.4531977,.0513233,1
"SushiHut",23,3,2,3,5140,.0706478,2.3340185,.0184463,1
"McDonalds",24,1,2,4,3146,-.3113383,2.259167,.0037142,0
"TacoBell",24,2,2,4,3146,1.543983,2.8786669,.0452591,1
"McDonalds",25,1,2,5,4107,-.1602173,2.3927307,.0089802,0
"TacoBell",25,2,2,5,4107,1.436241,2.6286848,.0173112,1
"SushiHut",25,3,2,5,4107,-1.986036,2.3706332,.0801413,1
"McDonalds",26,1,2,6,1492,1.343331,2.6765549,.0448826,0
"TacoBell",26,2,2,6,1492,-1.310917,2.1327,.0325848,1
"SushiHut",26,3,2,6,1492,-1.193296,2.1904915,.062948,1
"McDonalds",27,1,2,7,1867,-.6408931,2.4718561,.0950732,0
"TacoBell",27,2,2,7,1867,-1.131058,2.0832195,.0185142,1
"McDonalds",28,1,2,8,1568,-2.009744,2.2036536,.1045783,1
"TacoBell",28,2,2,8,1568,.9373076,2.4649494,.0004786,0
"SushiHut",28,3,2,8,1568,-1.153741,1.9319572,.0330718,1
"McDonalds",29,1,2,9,836,-.2576725,2.3067667,.0715391,1
"TacoBell",29,2,2,9,836,-.3172907,2.2794523,.0623195,1
"McDonalds",30,1,2,10,3861,1.350072,2.6682231,.0312503,1
"TacoBell",30,2,2,10,3861,.7511507,2.9939237,.080871,1
"SushiHut",30,3,2,10,3861,-1.138643,2.1575835,.0085754,1
"McDonalds",31,1,2,11,638,-.8970649,1.7752951,.0216175,0
"TacoBell",31,2,2,11,638,-1.24054,2.1137514,.0902764,0
"McDonalds",32,1,2,12,2374,-1.244204,2.072021,.0321598,0
"TacoBell",32,2,2,12,2374,-.6545158,2.3760104,.0697929,0
"SushiHut",32,3,2,12,2374,.7409334,2.4423895,.0229264,1
"McDonalds",33,1,2,13,2252,-2.121971,1.5808983,.012112,0
"TacoBell",33,2,2,13,2252,-1.075271,2.5176225,.1164811,1
"SushiHut",33,3,2,13,2252,-1.17311,2.2792138,.090384,1
"McDonalds",34,1,2,14,2477,-.2465427,2.4073298,.049514,1
"TacoBell",34,2,2,14,2477,-.6677878,2.1389048,.0448153,0
"McDonalds",35,1,2,15,2304,.2091349,2.2499018,.0227054,1
"TacoBell",35,2,2,15,2304,-.313044,2.2426593,.044825,0
"SushiHut",35,3,2,15,2304,.4309022,2.3962782,.0175688,1
"McDonalds",36,1,2,16,1194,.9242885,2.5403159,.0010257,0
"TacoBell",36,2,2,16,1194,-.0191421,2.4816177,.0917977,1
"SushiHut",36,3,2,16,1194,-.9297805,2.1029127,.064621,1
"McDonalds",37,1,2,17,1967,-1.794429,2.0476465,.0488539,1
"TacoBell",37,2,2,17,1967,3.254465,2.9499362,.0012427,1
"SushiHut",37,3,2,17,1967,-1.517389,2.2677325,.0971543,1
